Table Name,Column Name,Description,Business Context,Exclude Column,Data Type,Is Primary Key,Is Foreign Key
Invoices,VendorNumber,Unique identifier for the vendor in the system.,,No,nvarchar,No,No
Invoices,VendorName,Name of the vendor.,,No,nvarchar,No,No
Invoices,VendorCountry,Country code of the vendor’s registered address.,,No,nvarchar,No,No
Invoices,VendorCountryName,Full country name of the vendor.,,No,nvarchar,No,No
Invoices,VendorCategory,Classification or category of the vendor.,,No,nvarchar,No,No
Invoices,OneTimeVendorFlag,Indicates if the vendor is a one-time/infrequent vendor.,,No,nvarchar,No,No
Invoices,VendorCurrency,Currency code in which payment to the vendor is made.,,No,nvarchar,No,No
Invoices,CPIScore,Corruption Perception Index Score at vendor level,,No,decimal,No,No
Invoices,CompanyCode,Internal company code processing this payment.,,No,nvarchar,No,No
Invoices,CompanyCodeName,Name of the internal company code entity.,,No,nvarchar,No,No
Invoices,TransactionType,"Type of transaction (goods, services, expenses, etc.).",,No,nvarchar,No,No
Invoices,PhysicalInvoiceNo,Invoice number from the physical or scanned invoice.,,No,nvarchar,No,No
Invoices,FiscalYear,Fiscal year for financial reporting of the transaction.,,No,nvarchar,No,No
Invoices,RefNo,External or cross-reference number for the payment line.,,No,nvarchar,No,No
Invoices,SystemInvoiceNo,System-generated invoice number.,,No,nvarchar,No,No
Invoices,InvoiceStatus,"Status of the invoice (open, paid, draft, reversed, etc.).",,No,nvarchar,No,No
Invoices,AmountVat_VC,Total tax amount in vendor currency.,,No,decimal,No,No
Invoices,AmountIncl_VC,Total amount including tax in vendor currency.,,No,decimal,No,No
Invoices,AmountExcl_VC,Amount excluding tax in vendor currency.,,No,decimal,No,No
Invoices,AmountVat_RC,Total tax amount in reported currency.,,No,decimal,No,No
Invoices,AmountIncl_RC,Total amount including tax in reported currency.,,No,decimal,No,No
Invoices,AmountExcl_RC,Amount excluding tax in reported currency.,,No,decimal,No,No
Invoices,InvoiceDescription,Description or narration for the invoice.,,No,nvarchar,No,No
Invoices,DebitCreditIndicator,Indicates whether the line is a debit or credit.,,No,nvarchar,No,No
Invoices,PostingKey,Code indicating posting type (debit/credit).,,No,nvarchar,No,No
Invoices,InvoiceType,"Classification of the invoice type (goods, services, etc.).",,No,nvarchar,No,No
Invoices,PaymentType,Method/type of payment for this invoice.,,No,nvarchar,No,No
Invoices,CapturedBy,User ID or name of the person who captured the entry.,,No,nvarchar,No,No
Invoices,AuthorizedBy,ID or name of the person who authorized payment.,,No,nvarchar,No,No
Invoices,GLIndicator,GL Account to which this invoice is linked,,No,nvarchar,No,No
Invoices,InvoiceLineRef,Reference for the individual line item on the invoice.,,No,nvarchar,No,No
Invoices,DateDocumented,Date the document/invoice was created in the system.,,No,date,No,No
Invoices,DateCaptured,Date and time when the entry was captured.,,No,date,No,No
Invoices,DateAuthorized,Date the payment was authorized.,,No,date,No,No
Invoices,PostingDate,Date the transaction was posted in the ledger.,,No,date,No,No
Invoices,DueDate,Invoice due date for payment.,,No,date,No,No
Invoices,ScheduledPayDate,Date payment was scheduled for the invoice.,,No,date,No,No
Invoices,GLAccountRiskCategory,Risk category associated with GL account used.,,No,nvarchar,No,No
Invoices,GLAccountDescription,Description of the GL account.,,No,nvarchar,No,No
Invoices,GLAccountGroup,GL account grouping code.,,No,nvarchar,No,No
Invoices,PaymentOrClearingNumber,Payment or clearing document reference.,,No,nvarchar,No,No
